prefecture	town	name	party	age	gender	is_elected	town_name	is_male
山梨県	甲府市議会議員選挙	神山 玄太	無所属	36	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	寺田 義彦	無所属	39	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	望月 大輔	無所属	37	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	藤原 伸一郎	無所属	40	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	鈴木 あつし	無所属	61	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	山田 厚	社会民主党	67	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	兵道 けんじ	公明党	61	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	清水 ひとし	無所属	69	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	岡 まさよし	無所属	74	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	末木 咲子	無所属	57	女	Y	甲府市	0
山梨県	甲府市議会議員選挙	木内 なおこ	日本共産党	60	女	Y	甲府市	0
山梨県	甲府市議会議員選挙	おざわ 浩	無所属	58	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	中村 あきひこ	公明党	61	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	深沢 けんご	無所属	45	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	植田 としみ	公明党	61	女	Y	甲府市	0
山梨県	甲府市議会議員選挙	山中 和男	無所属	41	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	さめだ 光一	無所属	45	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	長沼 たつひこ	無所属	63	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	長沢 たつや	公明党	55	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	小沢 宏至	無所属	51	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	金丸 さぶろう	無所属	64	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	堀 とめほ	公明党	52	女	Y	甲府市	0
山梨県	甲府市議会議員選挙	こしいし 修	無所属	58	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	ひろせ 集一	無所属	66	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	坂本 のぶやす	無所属	69	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	天野 はじめ	無所属	57	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	池谷 むつお	無所属	76	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	おぎはら 隆宏	無所属	52	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	原田 ひろじ	無所属	74	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	清水 ひでとも	日本共産党	47	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	川崎 やすし	無所属	51	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	やまだ ひろゆき	無所属	62	男	Y	甲府市	1
山梨県	甲府市議会議員選挙	内藤 しろう	日本共産党	60	男	N	甲府市	1
山梨県	甲府市議会議員選挙	長坂 まさはる	日本共産党	68	男	N	甲府市	1
山梨県	甲府市議会議員選挙	依田 かつみ	無所属	56	男	N	甲府市	1
山梨県	甲府市議会議員選挙	かみじょう 司	無所属	56	男	N	甲府市	1
山梨県	甲府市議会議員選挙	さとう 久	無所属	49	男	N	甲府市	1
山梨県	甲府市議会議員選挙	三井 正俊	無所属	50	男	N	甲府市	1
山梨県	甲府市議会議員選挙	わかな 大介	無所属	39	男	N	甲府市	1
山梨県	甲府市議会議員選挙	渡辺 とみたか	無所属	67	男	N	甲府市	1
山梨県	富士吉田市議会議員選挙	前田 あつこ	公明党	65	女	Y	富士吉田市	0
山梨県	富士吉田市議会議員選挙	宮下 むねあき	無所属	63	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	奥脇 わいち	無所属	74	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	渡辺 だいき	無所属	32	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	横山 ゆうじ	無所属	55	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	勝俣 よねじ	無所属	65	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	戸田 はじめ	無所属	57	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	渡辺 しんき	無所属	60	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	鈴木 とみぞう	無所属	48	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	おまた 光吉	無所属	68	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	渡辺 まさる	無所属	50	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	渡辺 としひこ	無所属	59	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	伊藤 進	無所属	58	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	太田 としまさ	無所属	69	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	勝俣 ひろのり	無所属	51	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	羽田 ゆきひさ	無所属	62	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	藤原 えいさく	無所属	64	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	渡辺 こうじゅ	無所属	68	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	渡辺 ていじ	無所属	67	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	桑原 守雄	無所属	75	男	Y	富士吉田市	1
山梨県	富士吉田市議会議員選挙	秋山 こういち	日本共産党	65	男	N	富士吉田市	1
山梨県	富士吉田市議会議員選挙	宮下 ゆたか	無所属	63	男	N	富士吉田市	1
山梨県	富士吉田市議会議員選挙	渡辺 ただよし	無所属	75	男	N	富士吉田市	1
